,,1,2,3,4,5,6,7,
-,APRE,APRE US Equity,APREA THERAPEUTI,"596,409,152",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,PING,PING US Equity,PING IDENTITY HO,"2,702,933,760","250,393,000",-9.87,Information Technology,Software & Services,
-,SWTX,SWTX US Equity,SPRINGWORKS THER,"1,796,446,720",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ONEW,ONEW US Equity,ONEWATER MARINE,"421,958,656","767,624,000",7.11,Consumer Discretionary,Retailing,
-,IGMS,IGMS US Equity,IGM BIOSCIENCES,"1,587,323,904",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
NAV,NAV,NAV US Equity,NAVISTAR INTL,"3,338,373,632","9,584,999,808",2.08,Industrials,Capital Goods,
-,KRUS,KRUS US Equity,KURA SUSHI USA-A,"96,016,232","58,393,000",-285.49,Consumer Discretionary,Consumer Services,
-,NAVI,NAVI US Equity,NAVIENT CORP,"1,716,254,592","4,553,999,936",39.26,Financials,Diversified Financials,
-,RAPT,RAPT US Equity,RAPT THERAPEUTIC,"551,821,120",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,PWFL,PWFL US Equity,POWERFLEET INC,"182,982,560","108,594,000",-11.07,Information Technology,Technology Hardware & Equipment,
-,VERY,VERY US Equity,VERICITY INC,"125,693,752","135,300,000",-14.93,Financials,Insurance,
-,MORF,MORF US Equity,MORPHIC HOLDING,"857,811,008","16,977,000",-276.77,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,CMBM,CMBM US Equity,CAMBIUM NETWORKS,"329,818,496","252,448,000",7.73,Information Technology,Technology Hardware & Equipment,
-,BBIO,BBIO US Equity,BRIDGEBIO PHARMA,"3,535,027,968","40,560,000",,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,IMVT,IMVT US Equity,IMMUNOVANT INC,"2,203,189,760",,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,PHAT,PHAT US Equity,PHATHOM PHARMACE,"1,082,403,584",,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,MSON,MSON US Equity,MISONIX INC,"242,168,112","58,524,704",-29.75,Health Care,Health Care Equipment & Services,
-,NBIX,NBIX US Equity,NEUROCRINE BIOSC,"10,649,706,496","1,005,694,000",25.33,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,PNTG,PNTG US Equity,PENNANT GROUP,"1,028,848,512","362,479,000",6.55,Health Care,Health Care Equipment & Services,
-,NCLH,NCLH US Equity,NORWEGIAN CRUISE,"4,197,675,776","4,658,280,040",-3517.11,Consumer Discretionary,Consumer Services,
-,NCR,NCR US Equity,NCR CORP,"2,749,043,968","6,656,000,128",6.00,Information Technology,Technology Hardware & Equipment,
-,ALTG,ALTG US Equity,ALTA EQUIPMENT G,"245,239,392","180,500,000",-2.77,Industrials,Capital Goods,
-,TMDX,TMDX US Equity,TRANSMEDICS GROU,"480,373,088","24,183,000",-231.82,Health Care,Health Care Equipment & Services,
-,TPTX,TPTX US Equity,TURNING POINT TH,"2,608,145,664",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ARCT,ARCT US Equity,ARCTURUS THERAPE,"1,152,829,056","20,789,000",-122.72,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,NDAQ,NDAQ US Equity,NASDAQ INC,"21,422,581,760","2,678,000,000",45.06,Financials,Diversified Financials,
-,KRTX,KRTX US Equity,KARUNA THERAPEUT,"2,258,626,048",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,PLMR,PLMR US Equity,PALOMAR HOLDINGS,"2,587,836,160","146,252,000",35.48,Financials,Insurance,
-,NDSN,NDSN US Equity,NORDSON CORP,"11,930,589,184","2,169,591,008",23.61,Industrials,Capital Goods,
-,HOOK,HOOK US Equity,HOOKIPA PHARMA I,"275,167,872","16,037,000",-337.09,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,PASG,PASG US Equity,PASSAGE BIO INC,"669,829,632",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,WTRE,WTRE US Equity,WATFORD HOLDINGS,"334,697,856","515,914,024",57.98,Financials,Insurance,
-,GNLN,GNLN US Equity,GREENLANE HOLD-A,"136,903,328","185,006,000",-13.47,Consumer Discretionary,Retailing,
-,ALEC,ALEC US Equity,ALECTOR INC,"1,072,417,088","19,038,000",-1469.68,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,GOSS,GOSS US Equity,GOSSAMER BIO INC,"1,083,584,128",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,NEM,NEM US Equity,NEWMONT CORP,"50,585,448,448","10,625,999,872",18.18,Materials,Materials,
-,KERN,KERN US Equity,AKERNA CORP,"80,215,176",,-178.59,Industrials,Commercial & Professional Services,
-,BDTX,BDTX US Equity,BLACK DIAMOND TH,"1,072,712,512",,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,NEU,NEU US Equity,NEWMARKET CORP,"4,172,749,056","2,060,543,040",6.76,Materials,Materials,
-,NEWR,NEWR US Equity,NEW RELIC INC,"3,282,695,168","621,084,992",-16.05,Information Technology,Software & Services,
-,SOLY,SOLY US Equity,SOLITON INC,"143,455,920",0,,Health Care,Health Care Equipment & Services,
-,CRNC,CRNC US Equity,CERENCE INC,"1,952,539,904","303,315,008",3.58,Information Technology,Software & Services,
-,OSW,OSW US Equity,ONESPAWORLD HOLD,"398,561,984","399,641,992",-168.97,Consumer Discretionary,Consumer Services,
-,LEGH,LEGH US Equity,LEGACY HOUSING C,"357,842,784","169,275,000",27.72,Consumer Discretionary,Consumer Durables & Apparel,
-,CABA,CABA US Equity,CABALETTA BIO IN,"355,341,152",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,MIRM,MIRM US Equity,MIRUM PHARMACEUT,"631,930,432",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,PAE,PAE US Equity,PAE INC,"784,186,368","1,260,555,968",5.33,Industrials,Capital Goods,
-,GDYN,GDYN US Equity,GRID DYNAMICS HO,"387,917,408",,-21.67,Information Technology,Software & Services,
-,BBCP,BBCP US Equity,CONCRETE PUMPING,"239,874,368","310,587,000",-70.85,Industrials,Capital Goods,
-,NFLX,NFLX US Equity,NETFLIX INC,"209,689,608,192","22,628,315,648",22.09,Communication Services,Media & Entertainment,
-,NGHC,NGHC US Equity,NATIONAL GENERAL,"3,873,796,864","5,334,743,040",17.82,Financials,Insurance,
-,GTYH,GTYH US Equity,GTY TECHNOLOGY H,"195,092,448","42,675,000",-69.88,Information Technology,Software & Services,
-,GRTX,GRTX US Equity,GALERA THERAPEUT,"197,563,856",,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,OSMT,OSMT US Equity,OSMOTICA PHARMAC,"351,445,984","211,553,192",-22.40,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ESTC,ESTC US Equity,ELASTIC NV,"7,426,421,760","427,620,000",-27.97,Information Technology,Software & Services,
-,ARVN,ARVN US Equity,ARVINAS INC,"1,083,740,544","46,930,810",-460.78,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,SVMK,SVMK US Equity,SVMK INC,"3,080,503,808","342,847,000",-22.60,Information Technology,Software & Services,
-,LTHM,LTHM US Equity,LIVENT CORP,"1,095,424,512","309,500,000",-2.93,Materials,Materials,
-,NGVT,NGVT US Equity,INGEVITY CORP,"2,576,835,584","1,222,100,000",13.41,Materials,Materials,
-,NHC,NHC US Equity,NATL HEALTHCARE,"1,022,655,104","994,065,008",5.49,Health Care,Health Care Equipment & Services,
NKE,NKE,NKE US Equity,NIKE INC -CL B,"164,131,471,360","37,402,999,808",-13.27,Consumer Discretionary,Consumer Durables & Apparel,
-,NLOK,NLOK US Equity,NORTONLIFELOCK I,"13,306,431,488","2,454,000,000",19.54,Information Technology,Software & Services,
-,MESA,MESA US Equity,MESA AIR GROUP,"138,469,856","624,861,000",7.72,Industrials,Transportation,
-,RPAY,RPAY US Equity,REPAY HOLDINGS C,"1,958,390,400","150,659,996",-18.33,Information Technology,Software & Services,
-,HCAT,HCAT US Equity,HEALTH CATALYST,"1,295,794,176","171,299,000",-36.15,Health Care,Health Care Equipment & Services,
-,TENB,TENB US Equity,TENABLE HOLDINGS,"3,407,984,896","398,758,000",-9.85,Information Technology,Software & Services,
-,AQST,AQST US Equity,AQUESTIVE THERAP,"215,502,896","59,277,000",1.82,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,MSGE,MSGE US Equity,MADISON SQUARE G,"1,745,002,880",,-72.82,Communication Services,Media & Entertainment,
-,AKRO,AKRO US Equity,AKERO THERAPEUTI,"1,195,788,544",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,REPL,REPL US Equity,REPLIMUNE GROUP,"949,595,904",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,IIIV,IIIV US Equity,I3 VERTICALS-A,"775,378,624","218,771,000",-6.81,Information Technology,Software & Services,
-,DOMO,DOMO US Equity,DOMO INC- CL B,"964,151,936","181,158,000",-45.23,Information Technology,Software & Services,
-,VRT,VRT US Equity,VERTIV HOLDINGS,"5,175,768,576",,7.30,Industrials,Capital Goods,
-,NLSN,NLSN US Equity,NIELSEN HOLDINGS,"5,658,117,632","6,362,000,128",1.87,Industrials,Commercial & Professional Services,
-,NNI,NNI US Equity,NELNET INC-CL A,"2,422,870,784","1,693,386,016",33.96,Financials,Diversified Financials,
-,VRCA,VRCA US Equity,VERRICA PHARMACE,"159,017,280",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,CYCN,CYCN US Equity,CYCLERION THERAP,"178,759,504","4,507,000",-2774.28,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,NOC,NOC US Equity,NORTHROP GRUMMAN,"56,582,754,304","34,700,000,256",11.19,Industrials,Capital Goods,
-,MGTX,MGTX US Equity,MEIRAGTX HOLDING,"531,674,304","17,208,601",-1019.75,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,BEAM,BEAM US Equity,BEAM THERAPEUTIC,"1,152,589,312",,-438083.34,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,GSKY,GSKY US Equity,GREENSKY INC-A,"891,869,248","529,646,016",22.84,Information Technology,Software & Services,
-,SRRK,SRRK US Equity,SCHOLAR ROCK HOL,"394,345,856","21,277,000",-499.03,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,KNSA,KNSA US Equity,KINIKSA PHARMA-A,"1,242,770,816",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,EVOP,EVOP US Equity,EVO PAYMENTS-A,"2,205,526,016","457,195,000",-0.90,Information Technology,Software & Services,
-,NOVT,NOVT US Equity,NOVANTA INC,"4,026,355,456","613,964,000",9.47,Information Technology,Technology Hardware & Equipment,
-,PS,PS US Equity,PLURALSIGHT IN-A,"2,986,109,696","358,842,000",-37.17,Information Technology,Software & Services,
-,NOW,NOW US Equity,SERVICENOW INC,"81,923,530,752","3,954,788,992",5.81,Information Technology,Software & Services,
-,BH/A,BH/A US Equity,NBHSA INC - A,"270,555,360","550,838,000",-4.45,Consumer Discretionary,Consumer Services,
-,NPO,NPO US Equity,ENPRO INDUSTRIES,"1,215,748,736","1,189,200,000",0.73,Industrials,Capital Goods,
-,NRZ,NRZ US Equity,NEW RESIDENT,"3,396,632,832","1,021,831,040",17.89,Financials,Diversified Financials,
-,EIDX,EIDX US Equity,EIDOS THERAPEUTI,"1,633,096,192","26,691,000",,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,AMBA,AMBA US Equity,AMBARELLA INC,"1,594,724,992","236,189,000",-28.58,Information Technology,Semiconductors & Semiconductor Equipment,
-,ALLO,ALLO US Equity,ALLOGENE THERAPE,"4,942,063,104",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,GSHD,GSHD US Equity,GOOSEHEAD INSU-A,"3,655,657,216","77,486,000",18.16,Financials,Insurance,
-,NSC,NSC US Equity,NORFOLK SOUTHERN,"52,259,127,296","10,240,999,680",29.26,Industrials,Transportation,
-,ARLO,ARLO US Equity,ARLO TECHNOLOGIE,"458,662,720","360,611,000",-45.53,Information Technology,Technology Hardware & Equipment,
-,NSIT,NSIT US Equity,INSIGHT ENTERPRI,"1,944,009,344","8,322,488,960",3.77,Information Technology,Technology Hardware & Equipment,
-,TH,TH US Equity,TARGET HOSPITALI,"158,958,656","283,031,000",19.62,Consumer Discretionary,Consumer Services,
-,NSP,NSP US Equity,INSPERITY INC,"2,745,554,176","4,341,327,104",7.35,Industrials,Commercial & Professional Services,
-,PRVL,PRVL US Equity,PREVAIL THERAPEU,"450,951,744",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,VIE,VIE US Equity,VIELA BIO INC,"2,101,986,944","50,000,000",-179.38,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,BTAI,BTAI US Equity,BIOXCEL THERAPEU,"1,068,377,664",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,CLNC,CLNC US Equity,COLONY CREDIT RE,"838,360,960","331,707,000",-190.57,Financials,Diversified Financials,
-,PACK,PACK US Equity,RANPAK HOLDINGS,"653,205,312","342,400,000",-3.18,Materials,Materials,
NTAP,NTAP,NTAP US Equity,NETAPP INC,"9,605,295,104","5,412,000,000",19.77,Information Technology,Technology Hardware & Equipment,
-,BH,BH US Equity,BIGLARI HOLDIN-B,"270,555,360","550,838,000",-4.45,Consumer Discretionary,Consumer Services,
-,NTCT,NTCT US Equity,NETSCOUT SYSTEMS,"1,765,008,000","889,611,008",-7.88,Information Technology,Technology Hardware & Equipment,
-,STOK,STOK US Equity,STOKE THERAPEUTI,"946,041,664",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,VMD,VMD US Equity,VIEMED HEALTHCAR,"391,236,160","103,926,000",19.39,Health Care,Health Care Equipment & Services,
-,SLDB,SLDB US Equity,SOLID BIOSCIENCE,"116,176,520",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
NTNX,NTNX,NTNX US Equity,NUTANIX INC - A,"4,454,263,808","1,279,684,000",-72.32,Information Technology,Software & Services,
-,AGS,AGS US Equity,PLAYAGS INC,"155,294,640","228,264,000",-171.25,Consumer Discretionary,Consumer Services,
-,NTRS,NTRS US Equity,NORTHERN TRUST,"17,494,347,776","6,693,100,032",26.77,Financials,Diversified Financials,
-,NUAN,NUAN US Equity,NUANCE COMMUNICA,"8,090,803,712","1,596,625,984",6.63,Information Technology,Software & Services,
-,NUE,NUE US Equity,NUCOR CORP,"13,853,965,312","20,547,890,688",5.34,Materials,Materials,
-,NUS,NUS US Equity,NU SKIN ENTERP-A,"2,468,126,464","2,303,687,008",9.48,Consumer Staples,Household & Personal Products,
-,NUVA,NUVA US Equity,NUVASIVE INC,"2,662,578,176","1,064,681,984",-18.32,Health Care,Health Care Equipment & Services,
NVDA,NVDA,NVDA US Equity,NVIDIA CORP,"281,430,163,456","11,778,000,128",31.69,Information Technology,Semiconductors & Semiconductor Equipment,
-,NVR,NVR US Equity,NVR INC,"14,940,863,488","7,104,354,944",13.42,Consumer Discretionary,Consumer Durables & Apparel,
-,HUD,HUD US Equity,HUDSON LTD-CL A,"493,619,008","1,402,000,000",-142.63,Consumer Discretionary,Retailing,
-,ODT,ODT US Equity,ODONATE THERAPEU,"1,195,125,120",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,NVST,NVST US Equity,ENVISTA HOLDINGS,"3,717,062,656","2,751,600,128",10.09,Health Care,Health Care Equipment & Services,
-,OYST,OYST US Equity,OYSTER POINT PHA,"660,047,808",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,YMAB,YMAB US Equity,Y-MABS THERAPEUT,"1,632,592,384",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,BXG,BXG US Equity,BLUEGREEN VACATI,"409,536,256","615,583,000",-5.04,Consumer Discretionary,Consumer Services,
-,SCPH,SCPH US Equity,SCPHARMACEUTICAL,"216,238,800",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,SAIL,SAIL US Equity,SAILPOINT TECHNO,"3,230,063,360","332,778,000",8.73,Information Technology,Software & Services,
-,NVT,NVT US Equity,NVENT ELECTRIC,"3,281,340,416","2,094,600,032",10.13,Industrials,Capital Goods,
-,SPRO,SPRO US Equity,SPERO THERAPEUTI,"267,791,168","11,701,000",-1341.62,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,FNKO,FNKO US Equity,FUNKO INC-CL A,"304,322,720","795,121,984",5.86,Consumer Discretionary,Retailing,
-,APG,APG US Equity,API GROUP CORP,"2,449,687,808",,,Industrials,Capital Goods,
-,RBBN,RBBN US Equity,RIBBON COMMUNICA,"657,522,112","667,236,976",0.76,Information Technology,Technology Hardware & Equipment,
-,NWL,NWL US Equity,NEWELL BRANDS IN,"7,259,772,928","9,071,499,904",7.72,Consumer Discretionary,Consumer Durables & Apparel,
-,SPCE,SPCE US Equity,VIRGIN GALACTIC,"4,562,769,920","767,000",,Industrials,Capital Goods,
-,OPTN,OPTN US Equity,OPTINOSE INC,"304,468,832","40,812,000",-220.01,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,NWS,NWS US Equity,NEWS CORP-CL B,"8,945,446,912","9,008,000,000",-17.89,Communication Services,Media & Entertainment,
-,SWCH,SWCH US Equity,SWITCH INC- A,"4,092,632,320","493,116,000",19.92,Information Technology,Software & Services,
-,LIVX,LIVX US Equity,LIVEXLIVE MEDIA,"193,688,928","39,668,000",-55.41,Communication Services,Media & Entertainment,
-,RDVT,RDVT US Equity,RED VIOLET INC,"223,816,896","30,286,000",-37.02,Industrials,Commercial & Professional Services,
-,HFFG,HFFG US Equity,HF FOODS GROUP I,"479,995,616","519,006,480",-4.28,Consumer Staples,Food & Staples Retailing,
-,DCPH,DCPH US Equity,DECIPHERA PHARMA,"2,644,069,888","7,152,000",-972.24,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,NSCO,NSCO US Equity,NESCO HOLDINGS I,"176,031,712","289,912,000",3.68,Industrials,Capital Goods,
-,HBB,HBB US Equity,HAMILTON -A,"262,456,288","636,005,984",7.88,Consumer Discretionary,Consumer Durables & Apparel,
-,KLDO,KLDO US Equity,KALEIDO BIOSCIEN,"302,857,280","250,000",-7256.80,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,AXLA,AXLA US Equity,AXCELLA HEALTH I,"214,672,080",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,KIDS,KIDS US Equity,ORTHOPEDIATRICS,"1,035,912,192","69,645,000",-27.49,Health Care,Health Care Equipment & Services,
-,KRYS,KRYS US Equity,KRYSTAL BIOTECH,"810,355,840",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,NWSA,NWSA US Equity,NEWS CORP-CL A,"8,945,446,912","9,008,000,000",-17.89,Communication Services,Media & Entertainment,
-,NXST,NXST US Equity,NEXSTAR MEDIA-A,"4,068,708,864","3,770,119,936",21.46,Communication Services,Media & Entertainment,
-,MNLO,MNLO US Equity,MENLO THERAPEUTI,"266,628,080","13,438,000",-1430.33,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,EVLO,EVLO US Equity,EVELO BIOSCIENCE,"224,685,456",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,VIR,VIR US Equity,VIR BIOTECHNOLOG,"6,717,369,344","8,091,000",-2199.72,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,PRVB,PRVB US Equity,PROVENTION BIO I,"716,445,504",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,KROS,KROS US Equity,KEROS THERAPEUTI,"725,553,344","10,000,000",-105.63,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,PETQ,PETQ US Equity,PETIQ INC,"845,726,912","794,120,992",1.38,Health Care,Health Care Equipment & Services,
-,CLXT,CLXT US Equity,CALYXT INC,"254,026,096","11,415,000",-478.46,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,DMTK,DMTK US Equity,DERMTECH INC,"228,596,224",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ETON,ETON US Equity,ETON PHARMACEUTI,"133,594,712","578,000",-22690.00,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,NYT,NYT US Equity,NEW YORK TIMES-A,"7,250,510,336","1,784,250,016",7.13,Communication Services,Media & Entertainment,
-,OC,OC US Equity,OWENS CORNING,"7,288,797,184","6,800,999,936",10.34,Industrials,Capital Goods,
-,ODFL,ODFL US Equity,OLD DOMINION FRT,"22,568,704,000","3,941,236,992",22.22,Industrials,Transportation,
-,ACEL,ACEL US Equity,ACCEL ENTERTAINM,"807,839,168","529,991,992",-6290.24,Consumer Discretionary,Consumer Services,
-,ODP,ODP US Equity,ODP CORP/THE,"1,024,333,312","10,173,000,192",-21.13,Consumer Discretionary,Retailing,
-,OI,OI US Equity,O-I GLASS INC,"1,806,561,664","6,276,999,936",3.74,Materials,Materials,
-,XCUR,XCUR US Equity,EXICURE INC,"200,625,744","14,867,000",-90.57,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,HARP,HARP US Equity,HARPOON THERAPEU,"325,837,376","9,710,000",-398.39,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,GPMT,GPMT US Equity,GRANITE POINT MO,"404,653,248","253,106,000",-125.21,Financials,Diversified Financials,
-,SMAR,SMAR US Equity,SMARTSHEET INC-A,"5,043,911,168","300,175,000",-33.72,Information Technology,Software & Services,
-,OKTA,OKTA US Equity,OKTA INC,"24,774,805,504","643,703,008",-28.55,Information Technology,Software & Services,
-,ATXI,ATXI US Equity,AVENUE THERAPEUT,"175,169,424",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,OLLI,OLLI US Equity,OLLIE'S BARGAIN,"6,779,492,864","1,432,708,000",12.30,Consumer Discretionary,Retailing,
-,TRTX,TRTX US Equity,TPG RE FINANCE T,"698,718,016","346,622,000",78.28,Financials,Diversified Financials,
-,WRTC,WRTC US Equity,WRAP TECHNOLOGIE,"301,155,936","2,054,354",-929.06,Information Technology,Technology Hardware & Equipment,
-,FREQ,FREQ US Equity,FREQUENCY THERAP,"780,248,448","28,947,000",-71.42,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,OLN,OLN US Equity,OLIN CORP,"1,821,728,128","5,630,000,128",-7.72,Materials,Materials,
-,BHVN,BHVN US Equity,BIOHAVEN PHARMAC,"3,545,378,048","10,849,000",-1655.88,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,URGN,URGN US Equity,UROGEN PHARMA LT,"509,630,720","372,000",-8548.39,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,KREF,KREF US Equity,KKR REAL ESTATE,"1,060,142,400","289,852,000",78.07,Financials,Diversified Financials,
-,HCC,HCC US Equity,WARRIOR MET COAL,"792,863,424","882,827,968",-3.26,Materials,Materials,
-,EEX,EEX US Equity,EMERALD HOLDING,"204,433,520","227,200,000",267.14,Communication Services,Media & Entertainment,
-,OMC,OMC US Equity,OMNICOM GROUP,"11,635,141,632","13,972,599,808",2.23,Communication Services,Media & Entertainment,
-,AKCA,AKCA US Equity,AKCEA THERAPEUTI,"1,158,224,256","336,555,000",-228.32,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,WOW,WOW US Equity,WIDEOPENWEST INC,"580,638,016","1,135,400,000",12.59,Communication Services,Media & Entertainment,
-,IMXI,IMXI US Equity,INTERNATIONAL MO,"645,684,096","330,890,000",16.31,Information Technology,Software & Services,
-,VRRM,VRRM US Equity,VERRA MOBILITY C,"1,824,388,992","437,223,000",-8.71,Information Technology,Software & Services,
-,OMCL,OMCL US Equity,OMNICELL INC,"3,054,569,216","906,403,984",-3.50,Health Care,Health Care Equipment & Services,
-,MBIO,MBIO US Equity,MUSTANG BIO INC,"175,378,496",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,HLNE,HLNE US Equity,HAMILTON LANE-A,"3,761,299,200","279,559,000",40.95,Financials,Diversified Financials,
-,OMF,OMF US Equity,ONEMAIN HOLDINGS,"3,990,341,376","4,964,000,000",12.37,Financials,Diversified Financials,
-,CUE,CUE US Equity,CUE BIOPHARMA IN,"613,820,416","4,008,331",-1443.89,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,FBM,FBM US Equity,FOUNDATION BUILD,"705,552,640","2,090,094,944",4.14,Industrials,Capital Goods,
-,OMI,OMI US Equity,OWENS & MINOR,"1,029,429,760","8,520,070,912",1.23,Health Care,Health Care Equipment & Services,
ON,ON,ON US Equity,ON SEMICONDUCTOR,"9,194,190,848","5,274,999,936",3.55,Information Technology,Semiconductors & Semiconductor Equipment,
-,STSA,STSA US Equity,SATSUMA PHARMACE,"417,819,904",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,TCRR,TCRR US Equity,TCR2 THERAPEUTIC,"558,178,880",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ORGO,ORGO US Equity,ORGANOGENESIS HO,"429,047,872","269,602,000",-3.27,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,OPCH,OPCH US Equity,OPTION CARE HEAL,"2,277,939,712","2,782,947,008",3.13,Health Care,Health Care Equipment & Services,
-,PROS,PROS US Equity,PROSIGHT GLOBAL,"393,160,544","867,207,984",5.54,Financials,Insurance,
-,UPWK,UPWK US Equity,UPWORK INC,"1,763,248,640","300,561,984",-6.23,Industrials,Commercial & Professional Services,
-,MGTA,MGTA US Equity,MAGENTA THERAPEU,"351,279,840",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,BYSI,BYSI US Equity,BEYONDSPRING INC,"346,495,680",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,SITM,SITM US Equity,SITIME CORP,"1,045,919,808","84,074,000",-5.80,Information Technology,Semiconductors & Semiconductor Equipment,
-,GNPX,GNPX US Equity,GENPREX INC,"141,878,064",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,CKPT,CKPT US Equity,CHECKPOINT THERA,"119,478,040","1,319,000",-343.72,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,AMK,AMK US Equity,ASSETMARK FINANC,"1,873,427,840","436,249,000",-3.56,Financials,Diversified Financials,
-,UBX,UBX US Equity,UNITY BIOTECHNOL,"612,511,040",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,EVER,EVER US Equity,EVERQUOTE INC-A,"1,019,541,312","248,811,008",-3.23,Communication Services,Media & Entertainment,
-,NODK,NODK US Equity,NI HOLDINGS INC,"366,099,712","283,412,000",24.75,Financials,Insurance,
-,OPK,OPK US Equity,OPKO HEALTH,"3,161,602,560","965,745,008",9.02,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
ORCL,ORCL,ORCL US Equity,ORACLE CORP,"166,230,507,520","39,067,999,232",41.27,Information Technology,Software & Services,
-,INSG,INSG US Equity,INSEEGO CORP,"1,173,688,960","252,578,000",-6.61,Information Technology,Technology Hardware & Equipment,
-,ORI,ORI US Equity,OLD REPUB INTL,"5,107,799,040","6,371,699,968",25.86,Financials,Insurance,
-,PRTH,PRTH US Equity,PRIORITY TECHNOL,"150,428,176",,3.67,Information Technology,Software & Services,
-,FLGT,FLGT US Equity,FULGENT GENETICS,"909,065,984","43,752,000",15.29,Health Care,Health Care Equipment & Services,
